id;species;category;esthetic;foliage;type;height
324;Digitale;outdoor;flowering;deciduous;;shrub
325;Ancolie;outdoor;flowering;deciduous;;shrub
326;CÅur de Marie;outdoor;#N/A;#N/A;#N/A;#N/A
327;Bergénia;outdoor;foliage;evergreen;;ground
328;Alchémille;outdoor;foliage;deciduous;;ground
329;Népéta;outdoor;flowering;deciduous;;ground
330;Verveine de Buenos Aires;outdoor;flowering;deciduous;;shrub
331;Scabieuse;outdoor;flowering;deciduous;;shrub
332;Euphorbe des jardins;outdoor;foliage;evergreen;;shrub
333;Oreille d'ours;outdoor;foliage;evergreen;;ground
334;Immortelle d'Italie;herb;;;herb;
335;Santoline;outdoor;foliage;evergreen;;shrub
336;Ciste;outdoor;flowering;evergreen;;shrub
337;Myrte;outdoor;foliage;evergreen;;shrub
338;Romarin Rampant;herb;;;herb;
339;Ipomée;outdoor;flowering;deciduous;;climber
340;Pois de Senteur;outdoor;flowering;deciduous;;climber
341;Hortensia Grimpant;outdoor;flowering;deciduous;;climber
342;Perce-Neige;outdoor;flowering;deciduous;;ground
343;Muscari;outdoor;flowering;deciduous;;ground
344;Ail d'Ornement;outdoor;flowering;deciduous;;shrub
345;Fritillaire Impériale;outdoor;flowering;deciduous;;shrub
346;Hélianthe Vivace;outdoor;flowering;deciduous;;shrub
347;Lysimaque;outdoor;flowering;deciduous;;ground
348;Verge d'Or;outdoor;flowering;deciduous;;shrub
349;Bambou Sacré;outdoor;foliage;evergreen;;shrub
350;Tetrapanax;outdoor;foliage;evergreen;;shrub
351;Edgeworthia;outdoor;flowering;deciduous;;shrub
352;Mahonia Charity;outdoor;flowering;evergreen;;shrub
353;Coronille;outdoor;flowering;evergreen;;shrub
354;Jasmin d'Hiver;outdoor;flowering;deciduous;;shrub
355;Hamamélis;outdoor;flowering;deciduous;;shrub
356;Laurier Tin;outdoor;flowering;evergreen;;shrub
357;Oranger du Mexique;outdoor;foliage;evergreen;;shrub
358;Hellébore;outdoor;flowering;evergreen;;ground
359;Daphné;outdoor;flowering;evergreen;;shrub
360;Sarcococca;outdoor;foliage;evergreen;;shrub
361;Callicarpa;outdoor;foliage;deciduous;;shrub
362;Cognassier du Japon;outdoor;flowering;deciduous;;shrub
363;Groseillier à fleurs;outdoor;flowering;deciduous;;shrub
364;Amélanchier;outdoor;flowering;deciduous;;tree
365;Cornouiller à fleurs;outdoor;flowering;deciduous;;tree
366;Arbre de Judée;outdoor;flowering;deciduous;;tree
367;Phormium;outdoor;foliage;evergreen;;shrub
368;Cordyline Australe;outdoor;foliage;evergreen;;tree
369;Grevillea;outdoor;foliage;evergreen;;shrub
370;Miscanthus;outdoor;foliage;deciduous;;shrub
371;Stipa;outdoor;foliage;deciduous;;shrub
372;Carex;outdoor;foliage;evergreen;;ground
373;Gunnera;outdoor;foliage;deciduous;;ground
374;Acanthe;outdoor;foliage;deciduous;;shrub
375;Kniphofia;outdoor;flowering;evergreen;;shrub
376;Fusain Ailé;outdoor;foliage;deciduous;;shrub
377;Gattilier;outdoor;flowering;deciduous;;shrub
378;Grenadier à fleurs;outdoor;flowering;deciduous;;shrub
379;Bambou Noir;outdoor;foliage;evergreen;;shrub
380;Clématite d'Armand;outdoor;flowering;evergreen;;climber
381;Solanum Grimpant;outdoor;flowering;evergreen;;climber
382;Passiflore Bleue;outdoor;flowering;deciduous;;climber
383;Houblon Doré;outdoor;foliage;deciduous;;climber
384;Chèvrefeuille d'Hiver;outdoor;flowering;deciduous;;shrub
385;Fougère Femelle;outdoor;foliage;deciduous;;ground
386;Pachysandra;outdoor;foliage;evergreen;;ground
387;Lavatère;outdoor;flowering;deciduous;;shrub
388;Fuchsia Rustique;outdoor;flowering;deciduous;;shrub
389;Azalée Japonaise;outdoor;flowering;deciduous;;shrub
390;Érable à peau de serpent;outdoor;foliage;deciduous;;tree
391;Chimonanthus;outdoor;flowering;deciduous;;shrub
392;Cyclamen de Naples;outdoor;flowering;deciduous;;ground
393;Violette Odorante;outdoor;flowering;evergreen;;ground
394;Ilex Crenata;outdoor;foliage;evergreen;;shrub
395;Agave;outdoor;foliage;;;shrub
396;Yucca Filamentosa;outdoor;foliage;evergreen;;shrub
397;Imperata;outdoor;foliage;deciduous;;ground
398;Ophiopogon;outdoor;foliage;evergreen;;ground
399;Laurier du Portugal;outdoor;foliage;evergreen;;shrub
400;Troène;outdoor;foliage;evergreen;;shrub
401;Pennisetum;outdoor;foliage;deciduous;;shrub
402;Lys des Incas;outdoor;flowering;deciduous;;shrub
403;Aster;outdoor;flowering;deciduous;;shrub
404;Vergerette;outdoor;flowering;evergreen;;ground
405;Sauge Arbustive;outdoor;flowering;deciduous;;shrub
406;Achillée;outdoor;flowering;deciduous;;ground
407;Caryopteris;outdoor;flowering;deciduous;;shrub
408;Leucothoe;outdoor;foliage;evergreen;;shrub
409;Phlomis;outdoor;foliage;evergreen;;shrub
410;Ceratostigma;outdoor;flowering;deciduous;;shrub
411;Gazania;outdoor;flowering;deciduous;;ground
412;Osteospermum;outdoor;flowering;deciduous;;ground
413;Valériane Rouge;outdoor;flowering;evergreen;;shrub
414;Nigelle de Damas;outdoor;flowering;deciduous;;shrub
415;Pavot de Californie;outdoor;flowering;deciduous;;ground
416;Monarde;outdoor;flowering;deciduous;;shrub
417;Hémérocalle;outdoor;flowering;deciduous;;shrub
418;Benoîte;outdoor;flowering;evergreen;;ground
419;Penstemon;outdoor;flowering;deciduous;;shrub
420;Brunnera;outdoor;foliage;deciduous;;ground
421;Sceau de Salomon;outdoor;foliage;deciduous;;ground
422;Giroflée;outdoor;flowering;evergreen;;shrub
423;Monnaie du Pape;outdoor;flowering;deciduous;;shrub
424;Amour en cage;outdoor;foliage;deciduous;;shrub
425;Liatris;outdoor;flowering;deciduous;;shrub
426;Véronique Arbustive;outdoor;foliage;evergreen;;shrub
427;Palmier Chanvre;outdoor;foliage;evergreen;;tree
428;Pourpier Vivace;outdoor;foliage;evergreen;;ground
429;Griffe de Sorcière;outdoor;foliage;evergreen;;ground
430;Gazon d'Espagne;outdoor;flowering;evergreen;;ground
431;Corbeille d'Argent;outdoor;flowering;evergreen;;ground
432;Corbeille d'Or;outdoor;flowering;evergreen;;ground
433;Framboisier;vegetable;;;fruitTree;
434;Cassissier;vegetable;;;fruitTree;
435;Mûrier (Ronce);vegetable;;;fruitTree;
436;Kiwi;vegetable;;;fruit;
437;Rhubarbe;vegetable;;;fruit;
438;Artichaut;vegetable;;;fruit;
439;Souci;outdoor;flowering;deciduous;;shrub
440;Bourrache;herb;;;herb;
441;Ail des Ours;herb;;;herb;
442;Hélénie;outdoor;flowering;deciduous;;shrub
443;Pâquerette;outdoor;flowering;evergreen;;ground
444;Genévrier;outdoor;foliage;evergreen;;shrub
445;Faux Cyprès;outdoor;foliage;evergreen;;tree
446;Sauge Officinale;herb;;;herb;
447;Millepertuis;outdoor;flowering;deciduous;;shrub
448;Campanule;outdoor;flowering;;;hanging
449;Myrtillier;vegetable;;;fruitTree;
450;Groseillier à maquereau;vegetable;;;fruitTree;
451;Kaki;vegetable;;;fruitTree;
452;Amandier;vegetable;;;fruitTree;
453;Saule Crevette;outdoor;foliage;deciduous;;shrub
454;Cerisier du Japon;outdoor;flowering;deciduous;;tree
455;Prunier Pourpre;outdoor;foliage;deciduous;;tree
456;Noisetier Tortueux;outdoor;foliage;deciduous;;shrub
457;Sorbier des oiseleurs;outdoor;flowering;deciduous;;tree
458;Mûrier Platane;outdoor;foliage;deciduous;;tree
459;Cytise;outdoor;flowering;deciduous;;tree
460;Épicéa;outdoor;foliage;evergreen;;tree
461;Sapin Bleu;outdoor;foliage;evergreen;;tree
462;Pin Mugo;outdoor;foliage;evergreen;;shrub
463;Mélèze;outdoor;foliage;deciduous;;tree
464;Araucaria;outdoor;foliage;;;shrub
465;Genévrier Rampant;outdoor;foliage;evergreen;;ground
466;Faux-Cyprès;outdoor;foliage;evergreen;;tree
467;Cryptomeria;outdoor;foliage;evergreen;;tree
468;Feijoa;outdoor;foliage;evergreen;;shrub
469;Kumquat;outdoor;foliage;evergreen;;shrub
470;Chamaerops;outdoor;foliage;evergreen;;shrub
471;Genêt;outdoor;flowering;deciduous;;shrub
472;Laurier du Portugal;outdoor;foliage;evergreen;;shrub
473;Troène;outdoor;foliage;evergreen;;shrub
474;Hortensia à feuilles de chêne;outdoor;foliage;deciduous;;shrub
475;Hortensia Annabelle;outdoor;flowering;deciduous;;shrub
476;Viorne à feuilles ridées;outdoor;foliage;evergreen;;shrub
477;Cotoneaster Lacteus;outdoor;foliage;evergreen;;shrub
478;Céanothe;outdoor;flowering;evergreen;;shrub
479;Abélia;outdoor;flowering;evergreen;;shrub
480;Cornouiller Sanguin;outdoor;foliage;deciduous;;shrub
481;Arbre à Perruque;outdoor;foliage;deciduous;;shrub
482;Berberis;outdoor;foliage;deciduous;;shrub
483;Symphorine;outdoor;foliage;deciduous;;shrub
484;Corête du Japon;outdoor;flowering;deciduous;;shrub
485;Callune;outdoor;flowering;evergreen;;ground
486;Sauge Arbustive;outdoor;flowering;deciduous;;shrub
487;Caryopteris;outdoor;flowering;deciduous;;shrub
488;Potentille Arbustive;outdoor;flowering;deciduous;;shrub
489;Perovskia;outdoor;foliage;deciduous;;shrub
490;Leucothoe;outdoor;foliage;evergreen;;shrub
491;Skimmia;outdoor;foliage;evergreen;;shrub
492;Andromède;outdoor;foliage;evergreen;;shrub
493;Prunellier;outdoor;flowering;deciduous;;shrub
494;Aubépine;outdoor;flowering;deciduous;;tree
495;Fusain Panaché;outdoor;foliage;evergreen;;ground
496;Chèvrefeuille arbustif;outdoor;foliage;evergreen;;shrub
497;Houx Panaché;outdoor;foliage;evergreen;;shrub
498;Olivier (En Pot);outdoor;foliage;evergreen;;tree
499;Olivier (Pleine terre);outdoor;foliage;evergreen;;tree
500;Citronnier (En Pot);outdoor;foliage;evergreen;;shrub
501;Citronnier (Pleine terre);outdoor;foliage;evergreen;;shrub
502;Laurier Rose (En Pot);outdoor;flowering;evergreen;;shrub
503;Laurier Rose (Pleine terre);outdoor;flowering;evergreen;;shrub
504;Érable du Japon (En Pot);outdoor;foliage;deciduous;;shrub
505;Érable du Japon (Pleine terre);outdoor;foliage;deciduous;;shrub
506;Hortensia (En Pot);outdoor;flowering;deciduous;;shrub
507;Hortensia (Pleine terre);outdoor;flowering;deciduous;;shrub
508;Bambou (En Pot);outdoor;foliage;evergreen;;shrub
509;Bambou (Pleine terre);outdoor;foliage;evergreen;;shrub
510;Menthe (En Pot);herb;;;herb;
511;Menthe (Pleine terre);herb;;;herb;
512;Bougainvillier (En Pot);outdoor;flowering;deciduous;;climber
513;Bougainvillier (Pleine terre);outdoor;flowering;deciduous;;climber
514;Lavande (En Pot);outdoor;flowering;evergreen;;shrub
515;Lavande (Pleine terre);outdoor;flowering;evergreen;;shrub
516;Figuier (En Pot);vegetable;;;fruitTree;
517;Figuier (Pleine terre);vegetable;;;fruitTree;
518;Rosier (Pot);outdoor;flowering;deciduous;;shrub
519;Rosier (Pleine terre);outdoor;flowering;deciduous;;shrub
520;Camélia (En Pot);outdoor;flowering;evergreen;;shrub
521;Camélia (Pleine terre);outdoor;flowering;evergreen;;shrub
522;Tomate;vegetable;;;fruit;
523;Courgette;vegetable;;;fruit;
524;Concombre;vegetable;;;fruit;
525;Aubergine;vegetable;;;fruit;
526;Poivron;vegetable;;;fruit;
527;Haricot Vert;vegetable;;;fruit;
528;Radis;vegetable;;;root;
529;Carotte;vegetable;;;root;
530;Laitue;vegetable;;;leaf;
531;Pomme de Terre;vegetable;;;root;
532;Potiron;vegetable;;;fruit;
533;Courge Butternut;vegetable;;;fruit;
534;Melon;vegetable;;;fruit;
535;Poireau;vegetable;;;leaf;
536;Oignon;vegetable;;;root;
537;Ail;vegetable;;;root;
538;Échalote;vegetable;;;root;
539;Petit Pois;vegetable;;;fruit;
540;Épinard;vegetable;;;leaf;
541;Mâche;vegetable;;;leaf;
542;Blette;vegetable;;;leaf;
543;Betterave;vegetable;;;root;
544;Chou-Fleur;vegetable;;;fruit;
545;Brocoli;vegetable;;;fruit;
546;Chou Cabus;vegetable;;;leaf;
547;Chou Kale;vegetable;;;leaf;
548;Chou de Bruxelles;vegetable;;;leaf;
549;Navet;vegetable;;;root;
550;Céleri-Rave;vegetable;;;root;
551;Fenouil;vegetable;;;leaf;
552;Maïs Doux;vegetable;;;fruit;
553;Asperge;vegetable;;;fruit;
554;Fève;vegetable;;;fruit;
555;Topinambour;vegetable;;;root;
556;Panais;vegetable;;;root;
557;Cornichon;vegetable;;;fruit;
558;Oseille;vegetable;;;herb;
559;Ciboulette;herb;;;herb;
560;Ciboule;herb;;;herb;
561;Estragon;herb;;;herb;
562;Coriandre;herb;;;herb;
563;Aneth;herb;;;herb;
564;Cerfeuil;herb;;;herb;
565;Sauge Officinale;herb;;;herb;
566;Chicorée Frisée;vegetable;;;leaf;
567;Endive;vegetable;;;leaf;
568;Patate Douce;vegetable;;;root;
569;Pâtisson;vegetable;;;fruit;
570;Tétragone;vegetable;;;leaf;
571;Roquette;vegetable;;;leaf;
572;Fraisier des Bois;vegetable;;;fruitTree;
573;Fraisier (En Pot);vegetable;;;fruitTree;
574;Fraisier (Pleine Terre);vegetable;;;fruitTree;
575;Tomate Cerise (En Pot);vegetable;;;fruit;
576;Tomate Cerise (Pleine Terre);vegetable;;;fruit;
577;Radis (EnPot);vegetable;;;root;
578;Salade (En Pot);vegetable;;;leaf;
579;Verveine Citronnelle;herb;;;herb;
580;Citronnelle de Madagascar;herb;;;herb;
581;Mélisse;herb;;;herb;
582;Origan;herb;;;herb;
583;Sarriette Vivace;herb;;;herb;
584;Laurier Sauce (En Pot);herb;;;herb;
585;Rutabaga;vegetable;;;root;
586;Crosne du Japon;vegetable;;;root;
587;Oca du Pérou;vegetable;;;root;
588;Salsifis;vegetable;;;root;
589;Pourpier Doré;vegetable;;;leaf;
590;Cresson Alénois;vegetable;;;leaf;
591;Pissenlit;vegetable;;;leaf;
592;Cardon;vegetable;;;leaf;
593;Lentille;vegetable;;;fruit;
594;Coqueret du Pérou;vegetable;;;fruit;
595;Framboisier (Pot / Nain);vegetable;;;fruitTree;
596;Canneberge;vegetable;;;fruitTree;
597;Baie de Goji;vegetable;;;fruitTree;
598;Consoude;outdoor;foliage;deciduous;;ground
599;Tanaisie;outdoor;foliage;deciduous;;shrub
600;Lin Bleu;outdoor;flowering;deciduous;;shrub
601;Oignon Rocambole;vegetable;;;root;
602;Poireau Perpétuel;vegetable;;;leaf;
603;Chou Daubenton;vegetable;;;leaf;
604;Raifort;vegetable;;;root;
605;Capucine Tubéreuse;vegetable;;;root;
606;Poire de Terre;vegetable;;;root;
607;Claytone de Cuba;vegetable;;;leaf;
608;Moutarde de Chine;vegetable;;;leaf;
609;Mizuna;vegetable;;;leaf;
610;Tatsoi;vegetable;;;leaf;
611;Angélique;herb;;;herb;
612;Camomille Romaine;herb;;;herb;
613;Bourrache;herb;;;herb;
614;Hysope;herb;;;herb;
615;Kiwaï;vegetable;;;fruit;
616;Mâche;vegetable;;;leaf;
617;Arroche;vegetable;;;leaf;
618;Scorsonère;vegetable;;;root;
619;Pois Chiche;vegetable;;;fruit;
620;Marjolaine;herb;;;herb;
621;Basilic Thaï;herb;;;herb;
622;Ciboulette de Chine;herb;;;herb;
623;Sauge Ananas;herb;;;herb;
624;Menthe Chocolat;herb;;;herb;
625;Oseille Sanguine;herb;;;herb;
626;Agastache;herb;;;herb;
627;Shiso;herb;;;herb;
628;Céleri à couper;herb;;;leaf;
629;Pimprenelle;herb;;;herb;
630;Basilic (Grand Vert);herb;;;herb;
631;Persil (En Pot);herb;;;herb;
632;Thym (En Pot);herb;;;herb;
633;Romarin (En Pot);herb;;;herb;
634;Ciboulette (En Pot);herb;;;herb;
635;Sauge Officinale (En Pot);herb;;;herb;
636;Laurier Sauce (En Pot);herb;;;herb;
637;Estragon (En Pot);herb;;;herb;
638;Origan (En Pot);herb;;;herb;
